Team,Tm,Arena,Long,Lat,geometry
Atlanta Hawks,ATL,State Farm Arena,33.757° N,84.396° W,POINT (33.757 -84.396)
Boston Celtics,BOS,TD Garden,42.366° N,71.062° W,POINT (42.366 -71.062)
Brooklyn Nets,BRK,Barclays Center,40.683° N,73.975° W,POINT (40.683 -73.975)
Charlotte Hornets,CHO,Spectrum Center,35.225° N,80.839° W,POINT (35.225 -80.839)
Chicago Bulls,CHI,United Center,41.881° N,87.675° W,POINT (41.881 -87.675)
Cleveland Cavaliers,CLE,Quicken Loans Arena,41.497° N,81.688° W,POINT (41.497 -81.688)
Dallas Mavericks,DAL,American Airlines Center,32.791° N,96.81° W,POINT (32.791 -96.81)
Denver Nuggets,DEN,Pepsi Center,39.749° N,105.008° W,POINT (39.749 -105.008)
Detroit Pistons,DET,Little Caesars Arena,42.341° N,83.055° W,POINT (42.341 -83.055)
Golden State Warriors,GSW,Chase Center,37.768° N,122.388° W,POINT (37.768 -122.388)
Houston Rockets,HOU,Toyota Center,29.751° N,95.362° W,POINT (29.751 -95.362)
Indiana Pacers,IND,Bankers Life Fieldhouse,39.764° N,86.156° W,POINT (39.764 -86.156)
Los Angeles Lakers,LAL,Staples Center,34.043° N,118.267° W,POINT (34.043 -118.267)
Los Angeles Clippers,LAC,Staples Center,34.043° N,118.267° W,POINT (34.043 -118.267)
Memphis Grizzlies,MEM,FedExForum,35.156° N,90.052° W,POINT (35.156 -90.052)
Miami Heat,MIA,American Airlines Arena,25.781° N,80.187° W,POINT (25.781 -80.187)
Milwaukee Bucks,MIL,Fiserv Forum,43.045° N,87.917° W,POINT (43.045 -87.917)
Minnesota Timberwolves,MIN,Target Center,44.98° N,93.276° W,POINT (44.98 -93.276)
New Orleans Pelicans,NOP,Smoothie King Center,29.949° N,90.082° W,POINT (29.949 -90.082)
New York Knicks,NYK,Madison Square Garden,40.751° N,73.993° W,POINT (40.751 -73.993)
Oklahoma City Thunder,OKC,Chesapeake Energy Arena,35.463° N,97.515° W,POINT (35.463 -97.515)
Orlando Magic,ORL,Amway Center,28.539° N,81.384° W,POINT (28.539 -81.384)
Philadelphia 76ers,PHI,Wells Fargo Center,39.901° N,75.172° W,POINT (39.901 -75.172)
Phoenix Suns,PHO,Talking Stick Resort Arena,33.446° N,112.071° W,POINT (33.446 -112.071)
Portland Trail Blazers,POR,Moda Center,45.532° N,122.667° W,POINT (45.532 -122.667)
Sacramento Kings,SAC,Golden 1 Center,38.58° N,121.5° W,POINT (38.58 -121.5)
San Antonio Spurs,SAS,AT&T Center,29.427° N,98.438° W,POINT (29.427 -98.438)
Toronto Raptors,TOR,Scotiabank Arena,43.644° N,79.379° W,POINT (43.644 -79.379)
Utah Jazz,UTA,Vivint Smart Home Arena,40.768° N,111.901° W,POINT (40.768 -111.901)
Washington Wizards,WAS,Capital One Arena,38.898° N,77.021° W,POINT (38.898 -77.021)